"N","Average of comparations"
1,0.000000
2,0.000000
3,0.526600
4,0.740000
5,0.904200
6,1.054200
7,1.213400
8,1.314200
9,1.410600
10,1.510400
11,1.591200
12,1.671200
13,1.747200
14,1.828200
15,1.880400
16,1.958400
17,2.013400
18,2.046800
19,2.109400
20,2.154200
21,2.225800
22,2.249200
23,2.296600
24,2.318600
25,2.342600
26,2.419600
27,2.452000
28,2.487200
29,2.501200
30,2.591200
31,2.623400
32,2.620200
33,2.659800
34,2.634000
35,2.679600
36,2.703400
37,2.763600
38,2.733600
39,2.756600
40,2.818200
41,2.882200
42,2.855000
43,2.918000
44,2.904600
45,2.942600
46,2.981200
47,2.976800
48,2.977800
49,3.061800
50,3.040800
51,3.034600
52,3.070000
53,3.117600
54,3.143600
55,3.174800
56,3.141800
57,3.133400
58,3.194600
59,3.230200
60,3.199600
61,3.236200
62,3.258200
63,3.276600
64,3.350400
65,3.310800
66,3.316000
67,3.325400
68,3.370000
69,3.375600
70,3.382800
71,3.399000
72,3.432000
73,3.459000
74,3.403000
75,3.393400
76,3.461000
77,3.477600
78,3.509600
79,3.511800
80,3.512800
81,3.503800
82,3.504000
83,3.557800
84,3.548800
85,3.567600
86,3.596000
87,3.593600
88,3.611400
89,3.622600
90,3.643600
91,3.654600
92,3.664000
93,3.628200
94,3.656600
95,3.677200
96,3.698000
97,3.704000
98,3.707800
99,3.705600
100,3.758800
101,3.753400
102,3.750200
103,3.779200
104,3.738000
105,3.777200
106,3.789000
107,3.774400
108,3.781200
109,3.811800
110,3.802600
111,3.819400
112,3.849600
113,3.897600
114,3.861600
115,3.836000
116,3.896000
117,3.893600
118,3.871400
119,3.886000
120,3.918200
121,3.908600
122,3.911400
123,3.907400
124,3.966800
125,3.947400
126,3.954400
127,3.965400
128,3.964800
129,3.937800
130,3.960200
131,3.982000
132,4.001200
133,4.002600
134,4.022800
135,3.999400
136,4.009600
137,4.127200
138,4.039000
139,4.105400
140,4.058800
141,4.067400
142,4.104000
143,4.065000
144,4.075200
145,4.090400
146,4.109200
147,4.159600
148,4.144600
149,4.128400
150,4.086800
151,4.141000
152,4.158000
153,4.151800
154,4.169600
155,4.178600
156,4.190400
157,4.152200
158,4.155200
159,4.173200
160,4.241800
161,4.183400
162,4.213000
163,4.211000
164,4.204200
165,4.244600
166,4.239800
167,4.291800
168,4.253200
169,4.256000
170,4.266200
171,4.224200
172,4.274000
173,4.323800
174,4.293400
175,4.329000
176,4.300000
177,4.338000
178,4.364600
179,4.322200
180,4.343000
181,4.340000
182,4.403000
183,4.269800
184,4.349400
185,4.350200
186,4.332200
187,4.350200
188,4.346000
189,4.342000
190,4.385000
191,4.375000
192,4.319000
193,4.400400
194,4.362200
195,4.392800
196,4.436400
197,4.448400
198,4.393600
199,4.392800
200,4.481400
201,4.437400
202,4.403400
203,4.386000
204,4.426400
205,4.433000
206,4.465400
207,4.447600
208,4.421800
209,4.491800
210,4.442400
211,4.483000
212,4.490200
213,4.477800
214,4.467400
215,4.503800
216,4.535600
217,4.540400
218,4.427800
219,4.551600
220,4.508800
221,4.500000
222,4.564600
223,4.491800
224,4.562800
225,4.626400
226,4.564000
227,4.503600
228,4.578600
229,4.532600
230,4.569200
231,4.538800
232,4.560800
233,4.596200
234,4.571600
235,4.563800
236,4.609400
237,4.649400
238,4.590600
239,4.632400
240,4.602400
241,4.592600
242,4.654400
243,4.627800
244,4.624000
245,4.629400
246,4.633600
247,4.642200
248,4.652200
249,4.663400
250,4.626200
251,4.642200
252,4.627200
253,4.654800
254,4.668600
255,4.665800
256,4.653000
257,4.673600
258,4.721200
259,4.744600
260,4.698400
261,4.666200
262,4.762200
263,4.701000
264,4.643600
265,4.732800
266,4.723800
267,4.645400
268,4.681600
269,4.726000
270,4.724200
271,4.720800
272,4.713600
273,4.737800
274,4.752800
275,4.715600
276,4.719200
277,4.669800
278,4.734600
279,4.730800
280,4.817000
281,4.799000
282,4.765400
283,4.811200
284,4.791600
285,4.813200
286,4.789800
287,4.808800
288,4.752800
289,4.709600
290,4.772600
291,4.803600
292,4.779600
293,4.806400
294,4.813600
295,4.807000
296,4.782200
297,4.816600
298,4.838000
299,4.781800
300,4.839800
301,4.836000
302,4.806200
303,4.849800
304,4.820400
305,4.824200
306,4.803800
307,4.861400
308,4.821200
309,4.860600
310,4.866000
311,4.863200
312,4.877400
313,4.867200
314,4.915400
315,4.868400
316,4.887800
317,4.910000
318,4.897800
319,4.900800
320,4.899200
321,4.894000
322,4.898200
323,4.953400
324,4.875800
325,4.888800
326,4.861600
327,4.893200
328,4.948600
329,4.974400
330,4.911800
331,4.883600
332,4.933200
333,4.923400
334,4.926000
335,4.946000
336,4.951600
337,4.953600
338,4.947400
339,4.959800
340,4.985600
341,4.946400
342,4.972600
343,4.965800
344,4.973000
345,4.928600
346,5.006000
347,4.971600
348,4.953800
349,4.958000
350,5.033200
351,5.008800
352,5.007600
353,4.936200
354,4.926400
355,4.968200
356,4.996400
357,4.975400
358,5.006000
359,4.984400
360,5.006400
361,4.968800
362,5.049000
363,5.037200
364,5.025600
365,5.048400
366,4.987000
367,5.045800
368,5.066200
369,4.990400
370,5.055000
371,5.011800
372,5.052800
373,5.033000
374,5.012200
375,4.982000
376,5.078800
377,5.076600
378,5.105000
379,5.024600
380,5.038000
381,5.044200
382,5.054000
383,5.063600
384,5.051400
385,5.061800
386,5.033200
387,5.079400
388,5.099800
389,5.067200
390,5.083400
391,5.052800
392,5.068400
393,5.171600
394,5.025800
395,5.078600
396,5.062600
397,5.098000
398,5.152800
399,5.122400
400,5.067000
401,5.090000
402,5.159200
403,5.150600
404,5.097200
405,5.083200
406,5.121200
407,5.115400
408,5.080600
409,5.165600
410,5.141800
411,5.131000
412,5.128000
413,5.139600
414,5.136800
415,5.131800
416,5.155200
417,5.120600
418,5.176600
419,5.140200
420,5.166200
421,5.159200
422,5.233600
423,5.166000
424,5.160000
425,5.177800
426,5.155400
427,5.214200
428,5.176000
429,5.194400
430,5.209800
431,5.146400
432,5.232200
433,5.162200
434,5.195600
435,5.186400
436,5.196200
437,5.159000
438,5.232200
439,5.122600
440,5.258000
441,5.183400
442,5.168200
443,5.223200
444,5.196000
445,5.246800
446,5.180400
447,5.256800
448,5.230800
449,5.226000
450,5.218200
451,5.236800
452,5.234000
453,5.216600
454,5.244600
455,5.207600
456,5.230400
457,5.223400
458,5.237600
459,5.267200
460,5.218800
461,5.214200
462,5.246400
463,5.242200
464,5.228200
465,5.252000
466,5.207000
467,5.243400
468,5.282200
469,5.261400
470,5.310200
471,5.293800
472,5.312600
473,5.272600
474,5.280600
475,5.309800
476,5.332600
477,5.363600
478,5.279800
479,5.344800
480,5.317200
481,5.327200
482,5.292200
483,5.320800
484,5.280400
485,5.344400
486,5.291000
487,5.241400
488,5.314400
489,5.298000
490,5.292600
491,5.322600
492,5.244400
493,5.308800
494,5.326200
495,5.313800
496,5.365400
497,5.313600
498,5.315200
499,5.327400
500,5.354200
501,5.348600
502,5.309800
503,5.360000
504,5.407400
505,5.367200
506,5.372600
507,5.320000
508,5.314800
509,5.312400
510,5.340600
511,5.348400
512,5.356600
513,5.355000
514,5.388200
515,5.373800
516,5.368600
517,5.368200
518,5.386800
519,5.346000
520,5.371800
521,5.382000
522,5.370400
523,5.439000
524,5.404600
525,5.359600
526,5.382800
527,5.411400
528,5.371600
529,5.373200
530,5.350000
531,5.370400
532,5.419000
533,5.399400
534,5.401600
535,5.371800
536,5.381600
537,5.352000
538,5.424000
539,5.411600
540,5.431000
541,5.392400
542,5.424800
543,5.432600
544,5.443000
545,5.467600
546,5.467200
547,5.434800
548,5.417400
549,5.430800
550,5.482400
551,5.427400
552,5.441200
553,5.473600
554,5.435200
555,5.453600
556,5.458400
557,5.466800
558,5.412600
559,5.436400
560,5.513600
561,5.488800
562,5.484200
563,5.441400
564,5.480800
565,5.478000
566,5.510600
567,5.492600
568,5.451200
569,5.459200
570,5.490400
571,5.518800
572,5.401000
573,5.502600
574,5.475600
575,5.512400
576,5.454800
577,5.494200
578,5.475800
579,5.404600
580,5.438600
581,5.477400
582,5.521800
583,5.456400
584,5.501200
585,5.454400
586,5.514000
587,5.485800
588,5.486600
589,5.450000
590,5.531000
591,5.538200
592,5.513200
593,5.489600
594,5.488400
595,5.486400
596,5.451400
597,5.461800
598,5.482200
599,5.490200
600,5.538200
601,5.539000
602,5.585200
603,5.588200
604,5.558200
605,5.558800
606,5.557200
607,5.560800
608,5.489400
609,5.500200
610,5.531600
611,5.476600
612,5.507200
613,5.520200
614,5.540400
615,5.524200
616,5.576400
617,5.512400
618,5.545400
619,5.478200
620,5.576000
621,5.579000
622,5.562800
623,5.555800
624,5.550600
625,5.593800
626,5.593200
627,5.596000
628,5.584400
629,5.552600
630,5.553800
631,5.523000
632,5.553200
633,5.609400
634,5.566800
635,5.573000
636,5.554400
637,5.583200
638,5.556400
639,5.541400
640,5.564400
641,5.571400
642,5.608800
643,5.585000
644,5.563600
645,5.590600
646,5.618400
647,5.582400
648,5.614600
649,5.588800
650,5.628200
651,5.647200
652,5.623600
653,5.546800
654,5.562800
655,5.600800
656,5.585400
657,5.663200
658,5.579200
659,5.548400
660,5.593600
661,5.674000
662,5.642400
663,5.620600
664,5.609000
665,5.684600
666,5.611400
667,5.639000
668,5.626400
669,5.621600
670,5.638800
671,5.643800
672,5.683200
673,5.609600
674,5.653200
675,5.691200
676,5.638200
677,5.616800
678,5.648600
679,5.643600
680,5.616400
681,5.617800
682,5.642800
683,5.619600
684,5.646000
685,5.658400
686,5.645800
687,5.634600
688,5.652000
689,5.707400
690,5.714600
691,5.652400
692,5.656800
693,5.597800
694,5.624400
695,5.692000
696,5.657400
697,5.666600
698,5.706600
699,5.645400
700,5.658000
701,5.691200
702,5.630200
703,5.695600
704,5.677600
705,5.723000
706,5.664600
707,5.677200
708,5.681800
709,5.705600
710,5.701200
711,5.710400
712,5.684400
713,5.749200
714,5.693400
715,5.725600
716,5.692200
717,5.719800
718,5.738200
719,5.728600
720,5.704800
721,5.692000
722,5.659600
723,5.701000
724,5.729400
725,5.692800
726,5.598200
727,5.709800
728,5.731400
729,5.730800
730,5.707600
731,5.718000
732,5.723400
733,5.727200
734,5.698200
735,5.686200
736,5.723800
737,5.703000
738,5.747800
739,5.736000
740,5.759600
741,5.712200
742,5.752000
743,5.676000
744,5.764200
745,5.766800
746,5.718600
747,5.755200
748,5.774200
749,5.767200
750,5.743200
751,5.736200
752,5.733000
753,5.764600
754,5.701800
755,5.753400
756,5.758000
757,5.789800
758,5.761800
759,5.727800
760,5.791200
761,5.736000
762,5.819000
763,5.710000
764,5.765800
765,5.736400
766,5.742600
767,5.776000
768,5.778800
769,5.772600
770,5.769600
771,5.749200
772,5.744400
773,5.777000
774,5.806400
775,5.780200
776,5.722400
777,5.787800
778,5.745600
779,5.749200
780,5.748200
781,5.832200
782,5.786400
783,5.822800
784,5.798000
785,5.814000
786,5.766000
787,5.819200
788,5.760400
789,5.756200
790,5.727000
791,5.766000
792,5.753000
793,5.863000
794,5.752400
795,5.897000
796,5.867600
797,5.820000
798,5.786400
799,5.781800
800,5.838400
801,5.829400
802,5.808400
803,5.785800
804,5.828600
805,5.763200
806,5.811600
807,5.847000
808,5.834600
809,5.872600
810,5.827600
811,5.797200
812,5.838400
813,5.844400
814,5.793000
815,5.806400
816,5.840800
817,5.819400
818,5.821800
819,5.858200
820,5.889000
821,5.853800
822,5.849000
823,5.887000
824,5.850200
825,5.858600
826,5.852000
827,5.869600
828,5.847400
829,5.877400
830,5.823000
831,5.833400
832,5.837200
833,5.866800
834,5.824600
835,5.839200
836,5.870600
837,5.848000
838,5.859200
839,5.900600
840,5.786000
841,5.836800
842,5.805800
843,5.836400
844,5.819400
845,5.880000
846,5.870600
847,5.839000
848,5.801600
849,5.925800
850,5.816400
851,5.862600
852,5.808400
853,5.890600
854,5.835400
855,5.843000
856,5.909200
857,5.904200
858,5.867200
859,5.883000
860,5.858400
861,5.865800
862,5.909800
863,5.850600
864,5.936200
865,5.970600
866,5.864600
867,5.900600
868,5.948400
869,5.837800
870,5.921000
871,5.936600
872,5.855400
873,5.901400
874,5.865600
875,5.874400
876,5.898000
877,5.893800
878,5.872000
879,5.949600
880,5.935600
881,5.925600
882,5.868400
883,5.918800
884,5.898000
885,5.917200
886,5.935800
887,5.895800
888,5.924200
889,5.877200
890,5.907000
891,5.934400
892,5.940400
893,5.974400
894,5.884400
895,5.888600
896,5.909200
897,5.974400
898,5.915400
899,5.834800
900,5.905200
901,5.875800
902,5.924000
903,5.925800
904,5.923200
905,5.875200
906,5.962200
907,5.890400
908,5.952800
909,5.912000
910,5.894600
911,5.930800
912,5.911800
913,5.964600
914,5.903200
915,5.958800
916,5.950800
917,5.953200
918,5.914400
919,5.952600
920,5.918600
921,5.879000
922,6.016800
923,5.919200
924,5.941000
925,5.915400
926,5.963400
927,5.928600
928,5.941000
929,5.912600
930,5.955400
931,5.946600
932,5.975600
933,5.934600
934,5.963600
935,5.954000
936,5.924800
937,5.910800
938,5.984000
939,6.011600
940,5.998200
941,6.016800
942,5.969600
943,5.978200
944,5.951200
945,6.006200
946,5.965800
947,5.965800
948,5.963600
949,6.019000
950,5.937600
951,6.017200
952,6.019000
953,5.973800
954,5.975600
955,5.970800
956,6.024200
957,5.920000
958,5.961800
959,5.975400
960,6.004800
961,5.965400
962,5.997400
963,5.970000
964,5.971200
965,6.005200
966,6.002200
967,5.944000
968,5.961800
969,5.948800
970,5.965400
971,5.947400
972,5.995600
973,6.039200
974,5.995600
975,5.989400
976,5.979200
977,6.029200
978,5.975200
979,6.046000
980,5.949800
981,5.944600
982,6.035400
983,6.048000
984,5.953600
985,5.983600
986,6.064200
987,5.954800
988,5.996600
989,5.953000
990,6.059400
991,5.976000
992,6.003400
993,5.990600
994,6.078800
995,6.069400
996,6.013200
997,5.967400
998,6.004200
999,6.060400
1000,6.049600
